Header_Length,Protocol Type,Duration,Rate,Srate,Drate,fin_flag_number,syn_flag_number,rst_flag_number,psh_flag_number,ack_flag_number,ece_flag_number,cwr_flag_number,ack_count,syn_count,fin_count,rst_count,HTTP,HTTPS,DNS,Telnet,SMTP,SSH,IRC,TCP,UDP,DHCP,ARP,ICMP,IGMP,IPv,LLC,Tot sum,Min,Max,AVG,Std,Tot size,IAT,Number,Magnitue,Radius,Covariance,Variance,Weight,Label
0.24514117125065207,1.0,0.256,0.0002333953840899842,0.0002333953840899842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.1050994917736239,0.1328804347826087,0.8220108695652173,0.36094483264320226,0.5939963291870556,0.37418478260869564,1.386509960891982e-11,0.0,0.5225848701594277,0.59334249140638,0.39492784875266995,0.9,0.0,ARP_Spoofing
0.48754323122003596,0.3529411764705882,0.256,0.00015802334790305354,0.00015802334790305354,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5037475758687562,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.9866482901197348,0.9864130434782609,0.9864130434782609,0.9864130434782609,0.0,0.9864130434782609,0.9996036082124328,1.0,0.9920486768376668,0.0,0.0,0.0,1.0000000000000002,ARP_Spoofing
0.00020091791520578502,0.10588235294117647,0.0768,1.768599478773608e-07,1.768599478773608e-07,0.0,0.0,0.0,0.0,0.2,0.3,0.0,0.0,0.0,0.0,0.0,0.0026206824257036534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.7,0.0,0.0,0.3,0.3,0.0040658110087001455,0.01222826086956522,0.01888586956521739,0.01320199275362319,0.004453319972285457,0.017663043478260868,2.9685415458123037e-10,0.0,0.04180171140183475,0.004448418007905807,7.459681858463664e-05,0.3,0.0,ARP_Spoofing
0.07670539803792005,1.0,0.256,0.00023698908657106494,0.00023698908657106494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.07587216814540443,0.12635869565217392,0.8220108695652173,0.30114952661318145,0.5405296901227757,0.16127717391304347,3.777090947910404e-11,0.0,0.45780763415638714,0.539934705413926,0.3334065078735313,0.9,0.0,ARP_Spoofing
0.03373009635988331,0.41764705882352937,0.256,0.0011655412721950265,0.0011655412721950265,0.0,0.0,0.0,0.0,0.1,0.9,0.0,0.0,0.0,0.0,0.0,0.029435505005503435,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.9,0.1,0.0,0.0,0.0,0.0,1.0,1.0,0.9196571625463003,0.11535326086956522,0.9864130434782609,0.9188883582715135,0.4757963356251673,0.8421875,0.9996045232647273,1.0,0.9543555819039287,0.46106826373684195,0.2135025893762798,1.0,1.0000000000000002,ARP_Spoofing
0.10236948275287923,1.0,0.256,0.00021176380789561788,0.00021176380789561788,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.04122232750452235,0.04076086956521739,0.3385190217391304,0.10365362426673567,0.20936255937593193,0.12853260869565217,4.26182216838377e-11,0.0,0.22523253558444895,0.2091321048353016,0.06551696442140989,0.9,0.0,ARP_Spoofing
0.0026835835481669825,0.3529411764705882,0.256,2.6408746339995728e-06,2.6408746339995728e-06,0.0,0.0,0.0,0.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.03454059437077415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.043431820139546905,0.016304347826086956,0.046875,0.026542339875303387,0.024125186326440902,0.026154891304347828,0.9996038638456043,1.0,0.07793565868824082,0.024112429829959436,0.0005822433323015699,1.0,1.0000000000000002,ARP_Spoofing
0.1494332317947825,1.0,0.256,0.000222265400786773,0.000222265400786773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.03740632268067878,0.048437499999999994,0.22669836956521738,0.10555649909420288,0.12866808488807618,0.15271739130434783,4.678785277145632e-11,0.0,0.23223952441368756,0.1285264542904896,0.02429170946065599,0.9,0.0,ARP_Spoofing
0.0002604003261574926,0.2823529411764706,0.2048,2.8398627328814835e-06,2.8398627328814835e-06,0.0,0.0,0.0,0.0,0.4,0.8,0.0,0.0,0.0,0.0,0.0,0.003312542586089418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.2,0.0,0.0,0.8,0.8,0.08169523645447499,0.01222826086956522,0.6032608695652173,0.06707927834290212,0.3048284551627597,0.024116847826086956,0.9996029043675574,1.0,0.1660811833507604,0.30510901597624146,0.09372439508324276,1.0,1.0000000000000002,ARP_Spoofing
0.8668261422620522,0.3529411764705882,0.992,0.00015547804637472938,0.00015547804637472938,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.9123643796844698,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.004909983633387889,0.016304347826086956,0.016304347826086956,0.016304347826086956,0.0,0.016304347826086956,2.4942097831291332e-12,0.0,0.050673064783512134,0.0,0.0,0.0,0.0,ARP_Spoofing
